project_id,project_name,county,latitude,longitude,award_date,completion_date,budget_kes,status,evidence_source
001,"Kiambu Level 4 Hospital Construction","Kiambu",-1.0332,36.8856,"2022-01-15","2023-12-31",350000000,success,"OAG Audit Report 2024"
002,"Mombasa Mtongwe Link Road","Mombasa",-4.0840,39.6330,"2021-06-01","2023-05-30",500000000,ghost,"EACC Investigation Report 2023"
003,"Turkana Lodwar Water Treatment Plant","Turkana",3.1193,35.5969,"2021-03-10","2024-02-28",280000000,success,"OAG Field Audit 2024"
004,"Nairobi Eastleigh Primary School","Nairobi",-1.2750,36.8428,"2020-09-01","2022-08-30",120000000,success,"Ministry of Education Report"
005,"Kisumu Kondele Footbridge","Kisumu",-0.0917,34.7680,"2021-11-20","2023-11-15",45000000,ghost,"Daily Nation Exposé 2023"
006,"Machakos Referral Hospital Expansion","Machakos",-1.5177,37.2634,"2022-02-01","2024-01-31",420000000,success,"KMHFL Database 2024"
007,"Nakuru Town West Sewerage System","Nakuru",-0.3031,36.0800,"2020-07-15","2022-12-20",680000000,success,"County Government Report"
008,"Garissa County Headquarters","Garissa",-0.4536,39.6401,"2021-04-01","2023-03-31",550000000,ghost,"PIC Investigation 2023"
009,"Nyeri Karatina Market Stalls","Nyeri",-0.4830,37.1302,"2021-08-10","2022-10-31",75000000,success,"OAG Audit 2023"
010,"Eldoret Kapseret Stadium","Uasin Gishu",0.5463,35.2698,"2020-05-01","2022-04-30",980000000,ghost,"EACC Prosecution 2022"
011,"Meru County Teaching Hospital","Meru",0.0469,37.6556,"2022-03-15","2024-03-14",460000000,success,"KMHFL Operational 2024"
012,"Kakamega Mumias Sugar Belt Road","Kakamega",0.3347,34.4877,"2021-01-20","2023-06-30",320000000,success,"KeNHA Completion Report"
013,"Kericho Tea Zone Bridge","Kericho",-0.3697,35.2839,"2020-11-15","2022-10-31",95000000,ghost,"County Audit Report 2022"
014,"Kilifi Malindi Airport Fire Station","Kilifi",-3.2297,40.1019,"2021-12-01","2023-11-30",180000000,success,"Kenya Airports Authority"
015,"Nyandarua Ol Kalou Health Centre","Nyandarua",-0.2694,36.3786,"2022-05-10","2024-04-30",210000000,success,"KMHFL Registered 2024"
016,"Siaya Bondo Technical Institute","Siaya",-0.2370,34.2684,"2020-08-01","2022-12-31",340000000,ghost,"Parliamentary Report 2023"
017,"Embu County Polytechnic Hostel","Embu",-0.5313,37.4570,"2021-09-15","2023-08-31",155000000,success,"TVET Authority Report"
018,"Homa Bay Pier Reconstruction","Homa Bay",-0.5273,34.4571,"2021-05-01","2023-04-30",240000000,success,"Kenya Ports Authority"
019,"Laikipia Nanyuki Airstrip Extension","Laikipia",0.0125,37.0408,"2020-10-15","2022-09-30",520000000,ghost,"CAA Investigation 2022"
020,"Bungoma Webuye Market Modernization","Bungoma",0.6168,34.7714,"2022-01-05","2023-12-15",89000000,success,"County Revenue Report"
021,"Taita Taveta Voi Hospital Maternity Wing","Taita Taveta",-3.3963,38.5562,"2021-07-01","2023-06-30",195000000,success,"KMHFL Active 2024"
022,"Migori Kehancha Stadium","Migori",-1.0835,34.3832,"2020-06-20","2022-05-31",125000000,ghost,"Sports Kenya Audit 2022"
023,"Nandi Kapsabet Police Station","Nandi",0.2000,35.1000,"2021-10-01","2023-09-30",160000000,success,"National Police Service"
024,"Baringo Kabarnet Water Dam","Baringo",0.4919,35.7430,"2020-12-15","2023-11-30",750000000,success,"Water Services Board"
025,"West Pokot Kapenguria County Assembly","West Pokot",1.3025,35.1119,"2021-02-10","2023-01-31",380000000,ghost,"Controller of Budget 2023"
026,"Trans Nzoia Kitale Referral Hospital ICU","Trans Nzoia",1.0157,34.9959,"2022-04-01","2024-03-31",310000000,success,"KMHFL Upgraded 2024"
027,"Samburu Maralal Secondary School","Samburu",1.0968,36.6995,"2020-09-15","2022-08-31",142000000,success,"Education Census 2023"
028,"Isiolo Town Administration Block","Isiolo",0.3556,37.5832,"2021-06-15","2023-05-31",220000000,ghost,"OAG Special Audit 2023"
029,"Nyamira County Referral Lab","Nyamira",-0.5631,34.9341,"2022-02-20","2024-01-31",175000000,success,"KEMSA Supply Records"
030,"Tharaka Nithi Chuka Irrigation Scheme","Tharaka Nithi",-0.3331,37.6500,"2021-03-25","2023-02-28",290000000,success,"National Irrigation Board"
